  PID TTY           TIME CMD
    1 ??         0:10.31 /sbin/launchd
   40 ??         0:01.22 /usr/libexec/UserEventAgent (System)
   41 ??         0:04.26 /usr/sbin/syslogd
   43 ??         0:01.57 /usr/libexec/kextd
   44 ??         0:11.64 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   46 ??         0:00.03 /usr/libexec/thermald
   47 ??         0:08.39 /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmd
   50 ??         0:00.20 /System/Library/CoreServices/appleeventsd --server
   51 ??         0:09.46 /usr/libexec/configd
   52 ??         0:01.12 /System/Library/CoreServices/powerd.bundle/powerd
   57 ??         0:02.70 /usr/libexec/airportd
   59 ??         0:00.43 /usr/libexec/warmd
   60 ??         0:22.46 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   64 ??         0:00.04 /System/Library/CoreServices/iconservicesd
   65 ??         0:00.03 /System/Library/CoreServices/iconservicesagent
   66 ??         0:00.29 /usr/libexec/diskarbitrationd
   69 ??         0:01.91 /usr/libexec/coreduetd
   70 ??         0:00.14 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   71 ??         0:00.22 /usr/libexec/wdhelper
   73 ??         0:03.13 /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmfs --tcp --resvport --listen localhost --oneshot --noportmap --nobrowse
   74 ??         0:00.12 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
   75 ??         0:11.04 /usr/libexec/opendirectoryd
   77 ??         0:00.18 /usr/sbin/wirelessproxd
   79 ??         0:06.86 /usr/libexec/discoveryd --udsocket standard --loglevel Basic --logclass Everything --logto asl
   80 ??         0:00.90 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   81 ??         0:06.77 /System/Library/CoreServices/launchservicesd
   84 ??         0:01.48 /usr/sbin/securityd -i
   89 ??         0:00.35 /usr/sbin/blued
   90 ??         0:00.03 autofsd
   94 ??         0:00.02 /usr/libexec/stackshot -t -O
   95 ??         0:00.31 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   96 ??         0:01.76 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   97 ??         0:00.04 /System/Library/CoreServices/logind
   98 ??         0:00.01 /usr/sbin/KernelEventAgent
  100 ??         1:46.78 /usr/libexec/hidd
  101 ??         0:02.24 /usr/libexec/taskgated -s
  102 ??         0:03.69 /usr/sbin/notifyd
  106 ??         0:00.31 /usr/sbin/distnoted daemon
  108 ??         0:00.23 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  113 ??         0:01.31 /System/Library/CoreServices/coreservicesd
  118 ??         0:01.85 /usr/sbin/cfprefsd daemon
  133 ??         0:00.02 /usr/libexec/diagnosticd
  195 ??         0:00.66 /usr/libexec/amfid
  203 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  205 ??         1:47.17 /Library/Application Support/Avast/components/daemon/com.avast.daemon -n
  212 ??         6:10.40 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  213 ??         0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  214 ??         0:00.18 /usr/libexec/secinitd
  215 ??         0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  218 ??         0:00.05 /usr/libexec/nsurlsessiond --privileged
  219 ??         0:00.31 /usr/libexec/nehelper
  220 ??         0:00.22 /usr/libexec/usbd
  221 ??         0:00.03 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  222 ??         0:00.04 /usr/libexec/corestoraged
  223 ??         0:00.10 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  224 ??         0:00.53 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
  226 ??         0:45.62 /usr/libexec/ApplicationFirewall/socketfilterfw
  227 ??         0:00.49 /usr/libexec/networkd
  228 ??         0:00.02 /usr/libexec/networkd_privileged
  234 ??         0:00.54 /usr/libexec/watchdogd
  236 ??         0:00.05 /usr/libexec/discoveryd_helper --loglevel Detailed --logclass Everything --logto asl
  258 ??         0:00.10 /usr/libexec/findmydeviced
  264 ??         0:00.61 /usr/libexec/locationd
  268 ??         0:00.33 /usr/libexec/awacsd
  274 ??         0:04.97 /usr/libexec/sandboxd -n PluginProcess -n 
  275 ??         0:00.01 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  303 ??         0:00.79 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  308 ??         0:00.03 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
  316 ??         0:00.03 /usr/libexec/nsurlstoraged
  327 ??         0:05.97 /Library/Application Support/Avast/components/service/com.avast.service
  328 ??         0:00.07 /usr/sbin/racoon -D
  335 ??         0:00.13 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  353 ??         0:30.17 sysmond
  354 ??         0:00.13 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  355 ??         0:25.65 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  364 ??         0:00.30 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  367 ??         0:05.13 /Library/Application Support/Avast/components/proxy/com.avast.proxy -n
  382 ??         0:02.39 /Library/Application Support/Avast/components/fileshield/com.avast.fileshield
  442 ??         0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  445 ??         0:00.04 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
  446 ??         0:00.03 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  448 ??         0:02.78 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  449 ??         0:01.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  450 ??         0:01.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  451 ??         0:01.93 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  452 ??         0:02.21 /usr/sbin/cfprefsd agent
  454 ??         0:03.89 /usr/sbin/distnoted agent
  459 ??         0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  461 ??         0:00.23 /usr/libexec/securityd_service
  462 ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  463 ??         1:24.05 /usr/libexec/systemstatsd
  550 ??         0:00.05 /usr/sbin/netbiosd
  552 ??         0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  554 ??         0:00.92 /usr/libexec/UserEventAgent (Aqua)
  556 ??         0:00.60 /usr/sbin/universalaccessd launchd -s
  557 ??         0:01.97 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_28679
  562 ??         0:06.79 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  564 ??         0:01.87 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  565 ??         0:01.67 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  566 ??         0:00.01 /usr/sbin/pboard
  567 ??         0:30.43 /usr/sbin/coreaudiod
  570 ??         0:01.41 /usr/sbin/usernoted
  571 ??         0:10.60 /Applications/Epson Software/Event Manager.app/Contents/Resources/Assistants/Event Manager/EEventManager.app/Contents/MacOS/EEventManager
  572 ??         0:02.69 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
